Team,SLELO
North Dakota State,-2.1872945827439794
North Florida,-1.7679082434942728
North Texas,3.127003870347669
Northeastern,-1.9286159898402127
Northern Arizona,-3.196282730271188
Northern Colorado,-0.9740023014863972
Northern Illinois,-2.3579321739330834
Northern Iowa,1.0059234704832563
Northern Kentucky,-0.35816252270348875
Northwestern,4.386048795934512
Northwestern State,-4.051071785678258
Notre Dame,1.1765312204543668
Oakland,0.31866553713396023
Ohio,0.10473534816547356
Ohio State,3.9867338841089324
Oklahoma,4.567863341260349
Oklahoma State,2.306610011239019
Old Dominion,-1.7370205255686482
Omaha,-20.0
Oral Roberts,-0.8929400749103217
Oregon,3.891451381867946
Oregon State,0.6819171454076773
Pacific,-4.293145735766907
Penn State,3.321684120976489
Pennsylvania,-0.6486466716305638
Pepperdine,-0.33465139095986574
Pittsburgh,4.152157817711535
Portland,-1.8750440988889614
Portland State,-1.6541520223317332
Prairie View,-4.064094072192528
Presbyterian,-2.6868482806046616
Princeton,2.248440405150344
Providence,3.8526205241349634
Purdue,7.574559423765294
Purdue Fort Wayne,-20.0
Queens (NC),-2.148151203419323
Quinnipiac,-0.8359333939899656
Radford,-1.1580319092603057
Rhode Island,-0.8553698641145882
Rice,-0.7638513046705948
Richmond,2.5965964212222072
Rider,-1.476024798337785
Robert Morris,-2.568801022768525
Rutgers,3.2022261607008233
Sacramento State,-3.239054100301159
Sacred Heart,-2.803807092981869
Saint Francis (PA),-5.654808040261125
Saint Joseph's,1.464724186344353
Saint Louis,0.15334016985706606
Saint Mary's (CA),5.72529290830791
Saint Peter's,-1.3858643572275606
Sam Houston,-20.0
Samford,1.5960049007064419
San Diego,-1.0551147694754828
San Diego State,4.801924457954271
San Francisco,3.0540673925488475
San Jose State,-0.4210268342527529
Santa Clara,1.7140242338585576
Seattle,0.5882845033546127
Seton Hall,3.857492736475073
Siena,-4.930590344006219
South Alabama,-0.9758189221567903
South Carolina,2.9487095486459816
South Carolina State,-3.7695179237384453
South Carolina Upstate,-2.6033981083793387
South Dakota,-3.7762845421554556
South Dakota State,0.030955277932579864
