Team,SLELO
North Dakota State,-2.1850127517562634
North Florida,-1.8035037664517475
North Texas,3.2503180578178315
Northeastern,-1.9932128619320948
Northern Arizona,-3.1986780708779454
Northern Colorado,-1.0466501222508473
Northern Illinois,-2.3731527817626095
Northern Iowa,0.8839283103394697
Northern Kentucky,-0.38007030603803055
Northwestern,4.525640908540849
Northwestern State,-4.115003579908081
Notre Dame,1.1177776870083378
Oakland,0.362106899547368
Ohio,0.25975377234798397
Ohio State,4.331024757282728
Oklahoma,4.453378823855883
Oklahoma State,2.225311279712637
Old Dominion,-1.7492485707329237
Omaha,-19.0
Oral Roberts,-0.9283911310775707
Oregon,4.045170401845038
Oregon State,0.632594959901728
Pacific,-4.29042651804656
Penn State,3.4781437137065265
Pennsylvania,-0.87881864372957
Pepperdine,-0.33465139095986574
Pittsburgh,4.239779236417613
Portland,-1.888982915815439
Portland State,-1.6544642428640222
Prairie View,-4.146832623904695
Presbyterian,-2.7266184656048362
Princeton,2.403200866900505
Providence,3.9488459478118454
Purdue,7.526797600378261
Purdue Fort Wayne,-19.0
Queens (NC),-2.2049998491752536
Quinnipiac,-0.5673865780393261
Radford,-1.2177798556046469
Rhode Island,-0.7742926938899815
Rice,-0.8677675801650758
Richmond,2.3821498990946983
Rider,-1.4411584349778754
Robert Morris,-2.5564416263978345
Rutgers,2.9522403031672586
Sacramento State,-2.9711572299143474
Sacred Heart,-2.7856257397175166
Saint Francis (PA),-5.653685913248296
Saint Joseph's,1.7077349194664297
Saint Louis,0.266525883772025
Saint Mary's (CA),5.806510419603472
Saint Peter's,-1.5023868578088466
Sam Houston,0.38564483145842243
Samford,1.6386100475982721
San Diego,-1.1890840644646863
San Diego State,4.8641010365056765
San Francisco,3.0625109507078654
San Jose State,-0.3763072815826132
Santa Clara,1.7810006718330422
Seattle,0.6387444994082866
Seton Hall,3.8252112323219887
Siena,-4.923168530012818
South Alabama,-0.9852448876959257
South Carolina,2.897308379381345
South Carolina State,-3.8529437303118117
South Carolina Upstate,-2.6588878987349185
South Dakota,-3.7848371808797907
South Dakota State,0.24307169528308953
South Florida,1.9899683565548758
Southeast Missouri State,-4.9537758149432225
Southeastern Louisiana,-2.99268479074468
Southern,-2.4782227533577013
Southern California,3.3188225492770145
Southern Illinois,1.4333671173560991
Southern Illinois-Edwardsville,-2.237908473019435
Southern Indiana,-3.8067072081828384
Southern Methodist,2.762589024267189
Southern Mississippi,-0.7117925121954207
Southern Utah,-1.1097796398453896
