Team,SLELO
North Texas,2.3040098829603886
Northeastern,-3.8791865548021502
Northern Arizona,1.1548616282088924
Northern Colorado,-0.7338358703699805
Northern Illinois,-2.0450267792697137
Northern Iowa,2.9426129513050574
Northern Kentucky,-1.585944898492147
Northwestern,0.42050464680333377
Northwestern State,-3.885771694584033
Notre Dame,9.395210142105253
Oakland,-2.8676659485907487
Ohio,-3.289569900367698
Ohio State,9.490083266032446
Oklahoma,7.222457651376648
Oklahoma State,5.243200395980601
Old Dominion,1.2446942758139232
Omaha,-19.0
Oral Roberts,0.3077272748438173
Oregon,3.912036801614592
Oregon State,7.9530831096070616
Pacific,0.9119012037834857
Penn State,6.625871315762569
Pennsylvania,-0.023427991066939657
Pepperdine,-4.0294971195211104
Pittsburgh,1.0626445632538086
Portland,2.3792557989000382
Portland State,-4.155053434313767
Prairie View,-4.980812683356401
Presbyterian,-4.811133824020298
Princeton,5.68946893263864
Providence,1.6729048931560058
Purdue,4.637666601513848
Purdue Fort Wayne,-19.0
Queens (NC),-6.376967771881028
Quinnipiac,-3.250154755297367
Radford,-4.2667440396756415
Rhode Island,3.1536559630975893
Rice,2.182437470404321
Richmond,4.362758439960362
Rider,-5.894814869017301
Robert Morris,-5.0517459696043066
Rutgers,0.9534453439095664
Sacramento State,-2.5627269198434957
Sacred Heart,-2.5975802554722573
Saint Francis (PA),-9.070762584695673
Saint Joseph's,3.8303363051438417
Saint Louis,0.7292198346234168
Saint Mary's (CA),-0.4854654554019043
Saint Peter's,-7.1373820900281455
Sam Houston,-19.0
Samford,-3.0427051089703445
San Diego,0.024205841121296867
San Diego State,0.8553876128401653
San Francisco,0.8349058683981163
San Jose State,-3.0850112490902246
Santa Clara,3.1878848613242416
Seattle,-3.9496876951369404
Seton Hall,4.404349630155775
Siena,-1.4667895321586868
South Alabama,-4.607792349976863
South Carolina,13.157727919678377
South Carolina State,-9.425050898701691
South Carolina Upstate,-5.250297082682838
South Dakota,0.011795151864001374
South Dakota State,4.765612869802285
South Florida,2.902141530306954
Southeast Missouri State,-3.7228499603859646
Southeastern Louisiana,-0.7659434628917492
Southern,-1.8162677360142039
Southern California,8.820491273130498
Southern Illinois,-0.6706655591649402
Southern Illinois-Edwardsville,-4.379552178426008
Southern Indiana,-0.48709484944683656
Southern Methodist,2.1846800157615016
Southern Mississippi,0.5210591149241444
Southern Utah,-2.0830282509581433
St. Bonaventure,-4.06544613075336
St. John's (NY),3.5118145514531083
St. Thomas,-19.0
Stanford,10.820313961848262
Stephen F. Austin,0.5848496442786776
Stetson,-2.916599649949129
Stonehill,-8.222413784747136
Stony Brook,2.510915166034592
Syracuse,5.801099534367059
Tarleton State,-3.395232799548424
TCU,-19.0
Temple,2.554960739005641
Tennessee,7.473675135195409
Tennessee State,-3.9269831971967086
Tennessee Tech,-1.387264536050768
Tennessee-Martin,-1.6937329880746486
Texas,11.12575848233561
Texas A&M,6.018550868155236
Texas A&M-Commerce,-3.2723603855134797
Texas A&M-Corpus Christi,-0.25848524094000824
Texas Southern,-5.985952259130064
Texas State,-0.8435835390776535
Texas Tech,4.0448790364929055
Texas-Rio Grande Valley,-19.0
Toledo,4.169455697856153
Towson,-0.6563863436772664
Troy,1.3486356120668184
Tulane,0.9385006245950293
Tulsa,1.9497748319522257
UAB,-19.0
UC Davis,-0.5075802338730809
UC Irvine,1.5630132601824203
UC Riverside,-1.2811331040764689
UC San Diego,-2.0412973055999264
UC Santa Barbara,-1.0847691709855234
UCF,-19.0
UCLA,10.026537738167999
UNC Asheville,-19.0
UNC Greensboro,-19.0
UNC Wilmington,-19.0
UT Arlington,-19.0
Utah,9.191891214224967
Utah State,-5.807075999911692
Utah Tech,-19.0
Utah Valley,-3.9190690440439138
UTEP,-19.0
UTSA,-19.0
Valparaiso,-3.7974553347847637
Vanderbilt,4.518339589422497
Vermont,0.3021305241894235
Villanova,6.065703142800033
Virginia,5.0139922411980224
Virginia Commonwealth,2.7751803920857125
Virginia Tech,8.519284149830415
Wagner,-8.05099672487006
Wake Forest,2.2225007392560303
Washington,5.589788444456771
Washington State,6.960328535610192
Weber State,-3.4412500177205914
West Virginia,7.7987395890472655
Western Carolina,-7.090788361044977
Western Illinois,-2.6683298350942795
